"","County_Name","Revenuepa_allpoint","Revenuepa_moneypass","Revenuepa_coop","Competitive_winner","aprevenue","mrevenue","cooprevenue","apatm","matm","coopatm","atm_winner","D"
"1","Los Angeles County",26616.229888894,23640.7696895536,23974.5839612992,"allpoint",32897660.142673,10803831.748126,26443966.109313,1236,457,1103,"allpoint","allpoint"
"2","San Bernardino County",23728.7256216667,25429.6320964579,22308.6276984128,"moneypass",5979638.85666,2720970.634321,5242527.509127,252,107,235,"allpoint","allpoint"
"3","Orange County",20128.2056627677,20585.8628506646,19844.3205642861,"moneypass",9963461.80307,3252566.330405,7977416.866843,495,158,402,"allpoint","allpoint"
"4","Contra Costa County",26248.6629111852,26832.9035618966,23597.7558860784,"moneypass",3543569.49301,1556308.40659,2406971.10038,135,58,102,"allpoint","allpoint"
"5","Riverside County",31819.611859874,30815.8058126786,29450.0684450279,"allpoint",7573067.62265,1725685.12551,5271562.25166,238,56,179,"allpoint","allpoint"
"6","San Diego County",18694.8745928023,17023.8831815672,17701.6071272789,"allpoint",9740029.66285,2281200.34633,10408544.99084,521,134,588,"coop","coop"
"7","Ventura County",33235.9989956818,24838.876185122,26501.5234464789,"allpoint",2924767.91162,1018393.92359,1881608.1647,88,41,71,"allpoint","allpoint"
"8","Kern County",32110.114,19743.0885791667,27198.329506,"allpoint",2215597.866,473834.1259,2311858.00801,69,24,85,"coop","coop"
"9","Santa Cruz County",23062.5597796078,24355.5583333333,26060.3550351429,"coop",1176190.54876,219200.025,912112.42623,51,9,35,"allpoint","allpoint"
"10","San Francisco County",26529.5778796491,18856.7445827059,19102.9185178095,"allpoint",4536557.81742,641129.315812,1203483.866622,171,34,63,"allpoint","allpoint"
"11","Fresno County",29197.5540813978,22343.8845447,28461.4723825581,"allpoint",2715372.52957,223438.845447,2447686.6249,93,10,86,"allpoint","allpoint"
"12","Tulare County",28034.9085981481,24597.9278577778,25823.8301911538,"allpoint",1513885.0643,221381.35072,671419.58497,54,9,26,"allpoint","allpoint"
"13","Sacramento County",27029.5515962651,21762.4315597826,22060.365503814,"allpoint",4486905.56498,1001071.85175,4742978.58332,166,46,215,"coop","coop"
"14","Alameda County",31432.0754106111,24611.8889534615,25113.1645408511,"allpoint",5657773.57391,1279818.22558,3540956.20026,180,52,141,"allpoint","allpoint"
"15","Solano County",17996.6365355172,17733.3740344444,17196.496682907,"allpoint",1043804.91906,159600.36631,1478898.71473,58,9,86,"coop","coop"
"16","Santa Clara County",23335.9709702119,25260.0083791071,19804.4527601381,"moneypass",6277376.190987,1414560.46923,5307593.339717,269,56,268,"allpoint","allpoint"
"17","Napa County",19421.8231307143,18929.1469277778,18310.5350022222,"allpoint",543811.04766,170362.32235,329589.63004,28,9,18,"allpoint","allpoint"
"18","Kings County",22959.0333333333,32249.85714,31678.782145,"moneypass",344385.5,32249.85714,633575.6429,15,1,20,"coop","coop"
"19","San Joaquin County",27861.1983702647,24177.5253241875,26305.1607868654,"allpoint",2841842.233767,386840.405187,1367868.360917,102,16,52,"allpoint","allpoint"
"20","San Mateo County",25338.6672398039,27726.401875,21991.8332390667,"moneypass",2584544.05846,720886.44875,1649387.49293,102,26,75,"allpoint","allpoint"
"21","Monterey County",26800.5573,21044.1595433333,21296.190117,"allpoint",1608033.438,126264.95726,851847.60468,60,6,40,"allpoint","allpoint"
"22","Stanislaus County",27564.7938641538,25373.9478844444,26719.6632805128,"allpoint",1791711.60117,228365.53096,1042066.86794,65,9,39,"allpoint","allpoint"
"23","Santa Barbara County",30524.135152,35384.6377658182,23047.8939337778,"moneypass",1526206.7576,389231.015424,1037155.22702,50,11,45,"allpoint","allpoint"
"24","Placer County",15137.7015556667,20221.6234811111,14957.22657,"moneypass",908262.09334,727978.44532,822647.46135,60,36,55,"allpoint","allpoint"
"25","Imperial County",25948.3327970833,0,21360.3918652174,"allpoint",622759.98713,0,491289.0129,24,0,23,"allpoint","allpoint"
"26","Madera County",38248.928891,43203.85184,30596.115556,"moneypass",382489.28891,129611.55552,305961.15556,10,3,10,"allpoint","allpoint"
"27","San Benito County",44768.125,0,44768.125,"allpoint",268608.75,0,89536.25,6,0,2,"allpoint","allpoint"
"28","Sonoma County",23895.8946328767,24717.6496135294,22412.7870405172,"moneypass",1744400.3082,420200.04343,1299941.64835,73,17,58,"allpoint","allpoint"
"29","Shasta County",23369.0927335294,20729.943895,21551.1188915385,"allpoint",397274.57647,414598.8779,280164.54559,17,20,13,"moneypass","moneypass"
"30","Marin County",19099.832811875,22374.285,17559.36875,"moneypass",916791.97497,559357.125,280949.9,48,25,16,"allpoint","allpoint"
"31","Sutter County",22741.0333333333,20602.23889,14847.3495692308,"allpoint",341115.5,82408.95556,193015.5444,15,4,13,"allpoint","allpoint"
"32","El Dorado County",23728.1610752174,26691.90736,23901.9472530769,"moneypass",545747.70473,293610.98096,310725.31429,23,11,13,"allpoint","allpoint"
"33","Merced County",21982.0403039394,14941.75,23255.7697058824,"coop",725407.33003,29883.5,790696.17,33,2,34,"coop","coop"
"34","Yolo County",20134.411151875,17523.48179375,19500.4897453571,"allpoint",322150.57843,280375.7087,546013.71287,16,16,28,"coop","coop"
"35","Butte County",19206.3939555556,25037.07113,18812.73412,"moneypass",518572.6368,475704.35147,282191.0118,27,19,15,"allpoint","allpoint"
"36","San Luis Obispo County",20439.6268048837,26857.9464118182,19178.02196,"moneypass",878903.95261,295437.41053,556162.63684,43,11,29,"allpoint","allpoint"
"37","Yuba County",22364.6561076923,11051.952942,9811.838235,"allpoint",290740.5294,55259.76471,78494.70588,13,5,8,"allpoint","allpoint"
"38","Tehama County",27238.1071433333,34646.9553625,27151.017855,"moneypass",81714.32143,277175.6429,54302.03571,3,8,2,"moneypass","moneypass"
"39","Tuolumne County",34199.3,7367,28816.25,"allpoint",170996.5,7367,57632.5,5,1,2,"allpoint","allpoint"
"40","Nevada County",23430.06228125,27374.906905,13428.4580433333,"moneypass",374880.9965,218999.25524,80570.74826,16,8,6,"allpoint","allpoint"
"41","Del Norte County",26761.666665,26761.666665,26761.666665,"allpoint",53523.33333,53523.33333,53523.33333,2,2,2,"allpoint","morethan1"
"42","Humboldt County",17607.8795816875,16237.3524938462,12449.9080179444,"allpoint",281726.073307,211085.58242,224098.344323,16,13,18,"coop","allpoint"
"43","Lassen County",18004.625,18004.625,16769.0833333333,"allpoint",36009.25,72018.5,50307.25,2,4,3,"moneypass","moneypass"
"44","Lake County",15084.4814811111,27275,14831.133334,"moneypass",135760.33333,27275,74155.66667,9,1,5,"allpoint","allpoint"
"45","Glenn County",16403.3333325,16403.33333375,15949.5,"moneypass",65613.33333,131226.66667,31899,4,8,2,"moneypass","moneypass"
"46","Mendocino County",24384.52678625,62985.42857,30232.2755142857,"moneypass",195076.21429,125970.85714,211625.9286,8,2,7,"allpoint","coop"
"47","Calaveras County",36449.3,15796.5,13159.5,"allpoint",182246.5,31593,13159.5,5,2,1,"allpoint","allpoint"
"48","Mariposa County",0,0,40700.5,"coop",0,0,81401,0,0,2,"coop","coop"
"49","Siskiyou County",17502.4375,0,23788.0714285714,"coop",140019.5,0,166516.5,8,0,7,"allpoint","coop"
"50","Mono County",41906.5,0,0,"allpoint",167626,0,0,4,0,0,"allpoint","allpoint"
"51","Colusa County",14207.333335,42795.11111,0,"moneypass",28414.66667,128385.33333,0,2,3,0,"moneypass","moneypass"
"52","Amador County",11305.1428571429,7646.666667,7646.666665,"allpoint",79136,15293.333334,30586.66666,7,2,4,"allpoint","allpoint"
"53","Plumas County",8054,25094.5,0,"moneypass",8054,50189,0,1,2,0,"moneypass","moneypass"
"54","Trinity County",4380,20342,0,"moneypass",4380,20342,0,1,1,0,"allpoint","moneypass"
"55","Inyo County",6177.5,0,0,"allpoint",12355,0,0,2,0,0,"allpoint","allpoint"
"56","Carnelian Bay County",4471.5,0,4471.5,"allpoint",4471.5,0,4471.5,1,0,1,"allpoint","allpoint"
