data_1,data_2
92140,90012
91330,91356
90263,91604
95211,93704
95226,93280
95431,94580
92135,94510
92147,93960
95335,91316
95925,94131
95537,90061
95571,95354
95514,91504
92266,95815
93524,95531
92060,94530
96126,91201
93220,93907
92134,95827
93528,90603
95463,95818
91980,93514
94576,95320
95646,93646
95680,93620
95978,92069
92267,92324
93627,94930
96108,95470
95984,95365
90822,94158
95435,96137
95325,95428
95013,95415
91948,89439
95250,93544
95604,95636
95234,95701
94128,94937
92332,95552
93592,94567
93262,92268
93042,96121
95679,95717
95364,93033
94972,93307
96123,92592
95944,92805
95430,92105
93064,90003
95721,92021
93634,90731
95724,95020
93633,93063
90071,92563
92338,94601
95974,92025
96155,90024
93943,94014
90099,94577
90079,94303
90506,90027
90747,92688
90831,92395
90095,92054
92055,95926
92310,93711
92278,91311
94535,93612
93437,93561
90089,91722
94129,94952
94720,
94130,
95903,
95652,
93529,
95471,
93928,
95397,
93628,
95736,
95443,
95606,
95559,
95625,
96133,
93519,
96049,
93623,
95915,
92384,
92197,
94541,
92323,
91605,
95616,
92886,
95141,
91711,
92821,
90049,
93405,
94590,
92065,
95476,
93612,
90277,
90621,
90266,
92139,
92508,
93657,
92292,
95480,
91941,
95358,
94588,
95966,
95117,
94545,
92194,
93410,
93035,
91324,
95409,
94107,
92199,
91914,
94947,
92251,
94030,
90732,
91501,
95620,
92887,
90814,
92585,
91804,
93514,
94108,
93543,
95030,
93636,
95640,
95451,
93234,
94028,
93428,
93609,
94964,
92590,
93242,
95684,
96025,
95372,
92676,
92403,
96118,
95415,
92275,
94514,
93608,
91916,
93093,
93526,
94613,
95922,
95043,
90073,
91758,
93043,
95075,
91210,
96124,
95305,
95986,
93276,
91046,
96071,
94573,
95930,
93522,
